Experimento,Premio,Trocou,Ganhou
1,1,Sim,Sim
2,3,Nao,Sim
3,1,Sim,Sim
4,1,Sim,Sim
5,1,Sim,Nao
6,2,Nao,Nao
7,2,Sim,Sim
8,1,Sim,Sim
9,2,Nao,Nao
10,2,Nao,Sim
11,3,Sim,Sim
12,2,Nao,Nao
13,1,Sim,Sim
14,2,Sim,Sim
15,3,Sim,Sim
16,3,Sim,Nao
17,1,Sim,Nao
18,1,Sim,Sim
19,3,Sim,Sim
20,2,Sim,Sim
21,3,Sim,Nao
22,2,Sim,Sim
23,1,Nao,Nao
24,2,Nao,Nao
25,3,Sim,Nao
26,3,Sim,Sim
27,3,Nao,Sim
28,3,Sim,Sim
29,2,Sim,Nao
30,1,Nao,Nao
31,3,Nao,Nao
32,1,Nao,Nao
33,2,Sim,Nao
34,3,Nao,Nao
35,2,Sim,Nao
36,1,Sim,Sim
37,1,Nao,Nao
38,1,Sim,Nao
39,1,Sim,Sim
40,2,Sim,Nao